bin,lon_rad,lon_deg,lat_summer_rad,lat_summer_deg,lat_winter_rad,lat_winter_deg
129,-0.881391,-50.500001,0.390213,22.35753,-0.375651,-21.523217
130,-0.863938,-49.5,0.390582,22.378676,-0.378709,-21.698442
131,-0.846485,-48.499999,0.390908,22.397391,-0.381299,-21.846814
132,-0.829031,-47.500001,0.391195,22.413821,-0.383478,-21.97166
133,-0.811578,-46.5,0.391444,22.428116,-0.385301,-22.076131
134,-0.794125,-45.499998,0.39166,22.440458,-0.386812,-22.16268
135,-0.776672,-44.500001,0.391844,22.451032,-0.388049,-22.233586
136,-0.759218,-43.5,0.392001,22.460018,-0.389054,-22.291128
137,-0.741765,-42.499998,0.392134,22.467605,-0.389864,-22.337586
138,-0.724312,-41.500001,0.392245,22.473967,-0.390518,-22.375049
139,-0.706858,-40.499999,0.392337,22.479247,-0.391039,-22.404865
140,-0.689405,-39.500002,0.392412,22.483574,-0.391446,-22.428186
141,-0.671952,-38.500001,0.392474,22.487083,-0.39176,-22.446174
142,-0.654498,-37.499999,0.392523,22.489902,-0.392001,-22.459984
143,-0.637045,-36.500002,0.392562,22.492151,-0.392187,-22.470653
144,-0.619592,-35.5,0.392592,22.493886,-0.392328,-22.478738
145,-0.602139,-34.499999,0.392614,22.495149,-0.392432,-22.484672
146,-0.584685,-33.500002,0.392629,22.495979,-0.392505,-22.48889
147,-0.567232,-32.5,0.392637,22.496422,-0.392556,-22.491828
148,-0.549779,-31.499999,0.392638,22.49649,-0.392592,-22.493864
149,-0.532325,-30.500001,0.392631,22.49609,-0.392614,-22.495148
150,-0.514872,-29.5,0.392614,22.495105,-0.392625,-22.495774
151,-0.497419,-28.500001,0.392584,22.493415,-0.392626,-22.495838
152,-0.479966,-27.5,0.39254,22.490903,-0.392619,-22.49543
153,-0.462512,-26.5,0.392479,22.487384,-0.392605,-22.494622
154,-0.445059,-25.500001,0.392392,22.482421,-0.392584,-22.493394
155,-0.427606,-24.5,0.392272,22.475516,-0.392554,-22.491702
156,-0.410152,-23.5,0.392109,22.466166,-0.392516,-22.489499
157,-0.392699,-22.500001,0.391894,22.453871,-0.392468,-22.486742
158,-0.375246,-21.499999,0.391617,22.437996,-0.392409,-22.483379
159,-0.357792,-20.5,0.391257,22.417367,-0.392338,-22.479324
160,-0.340339,-19.500001,0.390791,22.390683,-0.392254,-22.474481
161,-0.322886,-18.499999,0.390197,22.356633,-0.392154,-22.468758
162,-0.305433,-17.5,0.389451,22.313914,-0.392037,-22.462059
163,-0.287979,-16.5,0.388528,22.261014,-0.391901,-22.454293
164,-0.270526,-15.499999,0.387386,22.1956,-0.391746,-22.44539
165,-0.253073,-14.5,0.385982,22.115137,-0.39157,-22.435281
166,-0.235619,-13.5,0.384271,22.017084,-0.391371,-22.423897
167,-0.218166,-12.5,0.382208,21.898906,-0.391149,-22.411172
168,-0.200713,-11.5,0.379747,21.75788,-0.390902,-22.397058
169,-0.18326,-10.5,0.376826,21.590547,-0.390632,-22.381592
170,-0.165806,-9.5,0.373383,21.393261,-0.39034,-22.364835
171,-0.148353,-8.5,0.369353,21.162376,-0.390026,-22.346842
172,-0.1309,-7.5,0.364673,20.89425,-0.389691,-22.327675
173,-0.113446,-6.5,0.359281,20.585263,-0.389338,-22.307423
174,-0.095993,-5.5,0.353113,20.23191,-0.388969,-22.286301
175,-0.07854,-4.5,0.346111,19.830717,-0.38859,-22.264554
176,-0.061087,-3.5,0.338213,19.378201,-0.388204,-22.242429
177,-0.043633,-2.5,0.329359,18.870891,-0.387815,-22.220171
178,-0.02618,-1.5,0.319495,18.305716,-0.387429,-22.198048
179,-0.008727,-0.5,0.308596,17.681251,-0.387051,-22.176395
180,0.008727,0.5,0.296645,16.996483,-0.386688,-22.155573
181,0.02618,1.5,0.283623,16.250395,-0.386345,-22.13594
182,0.043633,2.5,0.269513,15.441973,-0.386029,-22.117852
183,0.061087,3.5,0.254311,14.570931,-0.385747,-22.101652
184,0.07854,4.5,0.238061,13.63991,-0.385502,-22.087616
185,0.095993,5.5,0.220824,12.652278,-0.385299,-22.076
186,0.113446,6.5,0.202657,11.611405,-0.385143,-22.067064
187,0.1309,7.5,0.18362,10.52066,-0.385038,-22.061067
188,0.148353,8.5,0.163783,9.384087,-0.384989,-22.058217
189,0.165806,9.5,0.143264,8.208429,-0.384994,-22.058531
190,0.18326,10.5,0.122192,7.001103,-0.385054,-22.061975
191,0.200713,11.5,0.100697,5.769527,-0.385168,-22.068515
192,0.218166,12.5,0.078908,4.521117,-0.385336,-22.07812
193,0.235619,13.5,0.056958,3.263445,-0.385556,-22.090712
194,0.253073,14.5,0.034988,2.004691,-0.385823,-22.106022
195,0.270526,15.499999,0.013146,0.75319,-0.386132,-22.123744
196,0.287979,16.5,-0.008425,-0.482723,-0.386478,-22.143571
197,0.305433,17.5,-0.029578,-1.694715,-0.386856,-22.165188
198,0.322886,18.499999,-0.050178,-2.874975,-0.387259,-22.188281
199,0.340339,19.500001,-0.070124,-4.01779,-0.387681,-22.212511
200,0.357792,20.5,-0.089326,-5.117974,-0.388118,-22.237528
201,0.375246,21.499999,-0.107693,-6.170339,-0.388562,-22.262986
202,0.392699,22.500001,-0.125135,-7.169696,-0.389008,-22.288535
203,0.410152,23.5,-0.141576,-8.111727,-0.38945,-22.313869
204,0.427606,24.5,-0.157003,-8.995598,-0.389886,-22.338841
205,0.445059,25.500001,-0.171415,-9.821345,-0.390314,-22.363344
206,0.462512,26.5,-0.184813,-10.589003,-0.390732,-22.387272
207,0.479966,27.5,-0.197198,-11.298606,-0.391137,-22.410515
208,0.497419,28.500001,-0.208582,-11.950847,-0.39153,-22.433032
209,0.514872,29.5,-0.219022,-12.549046,-0.391914,-22.455022
210,0.532325,30.500001,-0.228589,-13.09718,-0.392293,-22.476749
211,0.549779,31.499999,-0.237351,-13.599226,-0.392672,-22.498472
212,0.567232,32.5,-0.245379,-14.05916,-0.393056,-22.520457
213,0.584685,33.500002,-0.252742,-14.481046,-0.39345,-22.543012
214,0.602139,34.499999,-0.259518,-14.869295,-0.393862,-22.566636
215,0.619592,35.5,-0.265786,-15.228397,-0.394303,-22.591879
216,0.637045,36.500002,-0.271623,-15.562852,-0.394781,-22.619283
217,0.654498,37.499999,-0.277109,-15.877152,-0.395307,-22.649399
218,0.671952,38.500001,-0.282313,-16.175353,-0.395889,-22.682773
219,0.689405,39.500002,-0.287277,-16.459738,-0.396538,-22.719965
220,0.706858,40.499999,-0.292031,-16.732155,-0.397264,-22.761532
221,0.724312,41.500001,-0.296609,-16.994446,-0.398075,-22.808037
222,0.741765,42.499998,-0.301042,-17.248458,-0.398983,-22.860039
223,0.759218,43.5,-0.305352,-17.495371,-0.399995,-22.918032
224,0.776672,44.500001,-0.309512,-17.733731,-0.401116,-22.98226
225,0.794125,45.499998,-0.313486,-17.961417,-0.402349,-23.052894
226,0.811578,46.5,-0.317237,-18.176313,-0.403697,-23.130115
227,0.829031,47.500001,-0.320727,-18.376301,-0.405162,-23.214097
228,0.846485,48.499999,-0.323911,-18.55873,-0.406747,-23.304894
229,0.863938,49.5,-0.326705,-18.718828,-0.408443,-23.402064
230,0.881391,50.500001,-0.329017,-18.851288,-0.41024,-23.505039
231,0.898845,51.499999,-0.330754,-18.950809,-0.412129,-23.613255
232,0.916298,52.5,-0.331823,-19.012083,-0.414099,-23.726144
233,0.933751,53.500001,-0.33213,-19.029674,-0.416139,-23.843016
234,0.951204,54.499999,-0.331571,-18.997623,-0.418227,-23.962662
235,0.968658,55.5,-0.330039,-18.90984,-0.420341,-24.083751
236,0.986111,56.500001,-0.327428,-18.760231,-0.422456,-24.204951
237,1.003564,57.500002,-0.323631,-18.542707,-0.42455,-24.32493
238,1.021018,58.500003,-0.31855,-18.251589,-0.426599,-24.442313
239,1.038471,59.499998,-0.312115,-17.882847,-0.428575,-24.555567
240,1.055924,60.499999,-0.304261,-17.432869,-0.430452,-24.66311
